# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 1.000000 0.000000 0.000000 0.000000 500.000000 0.000000 0.000000 1 view_0000.png

2 1.000000 0.000000 0.000000 0.000000 499.013364 6.266662 31.395260 1 view_0001.png

3 1.000000 0.000000 0.000000 0.000000 496.057351 12.434494 62.666617 1 view_0002.png

4 1.000000 0.000000 0.000000 0.000000 491.143625 18.406228 93.690657 1 view_0003.png

5 1.000000 0.000000 0.000000 0.000000 484.291581 24.087684 124.344944 1 view_0004.png

6 1.000000 0.000000 0.000000 0.000000 475.528258 29.389263 154.508497 1 view_0005.png

7 1.000000 0.000000 0.000000 0.000000 464.888243 34.227355 184.062276 1 view_0006.png

8 1.000000 0.000000 0.000000 0.000000 452.413526 38.525662 212.889646 1 view_0007.png

9 1.000000 0.000000 0.000000 0.000000 438.153340 42.216396 240.876837 1 view_0008.png

10 1.000000 0.000000 0.000000 0.000000 422.163963 45.241353 267.913397 1 view_0009.png

11 1.000000 0.000000 0.000000 0.000000 404.508497 47.552826 293.892626 1 view_0010.png

12 1.000000 0.000000 0.000000 0.000000 385.256621 49.114363 318.711995 1 view_0011.png

13 1.000000 0.000000 0.000000 0.000000 364.484314 49.901336 342.273553 1 view_0012.png

14 1.000000 0.000000 0.000000 0.000000 342.273553 49.901336 364.484314 1 view_0013.png

15 1.000000 0.000000 0.000000 0.000000 318.711995 49.114363 385.256621 1 view_0014.png

16 1.000000 0.000000 0.000000 0.000000 293.892626 47.552826 404.508497 1 view_0015.png

17 1.000000 0.000000 0.000000 0.000000 267.913397 45.241353 422.163963 1 view_0016.png

18 1.000000 0.000000 0.000000 0.000000 240.876837 42.216396 438.153340 1 view_0017.png

19 1.000000 0.000000 0.000000 0.000000 212.889646 38.525662 452.413526 1 view_0018.png

20 1.000000 0.000000 0.000000 0.000000 184.062276 34.227355 464.888243 1 view_0019.png

21 1.000000 0.000000 0.000000 0.000000 154.508497 29.389263 475.528258 1 view_0020.png

22 1.000000 0.000000 0.000000 0.000000 124.344944 24.087684 484.291581 1 view_0021.png

23 1.000000 0.000000 0.000000 0.000000 93.690657 18.406228 491.143625 1 view_0022.png

24 1.000000 0.000000 0.000000 0.000000 62.666617 12.434494 496.057351 1 view_0023.png

25 1.000000 0.000000 0.000000 0.000000 31.395260 6.266662 499.013364 1 view_0024.png

26 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 500.000000 1 view_0025.png

27 1.000000 0.000000 0.000000 0.000000 -31.395260 -6.266662 499.013364 1 view_0026.png

28 1.000000 0.000000 0.000000 0.000000 -62.666617 -12.434494 496.057351 1 view_0027.png

29 1.000000 0.000000 0.000000 0.000000 -93.690657 -18.406228 491.143625 1 view_0028.png

30 1.000000 0.000000 0.000000 0.000000 -124.344944 -24.087684 484.291581 1 view_0029.png

31 1.000000 0.000000 0.000000 0.000000 -154.508497 -29.389263 475.528258 1 view_0030.png

32 1.000000 0.000000 0.000000 0.000000 -184.062276 -34.227355 464.888243 1 view_0031.png

33 1.000000 0.000000 0.000000 0.000000 -212.889646 -38.525662 452.413526 1 view_0032.png

34 1.000000 0.000000 0.000000 0.000000 -240.876837 -42.216396 438.153340 1 view_0033.png

35 1.000000 0.000000 0.000000 0.000000 -267.913397 -45.241353 422.163963 1 view_0034.png

36 1.000000 0.000000 0.000000 0.000000 -293.892626 -47.552826 404.508497 1 view_0035.png

37 1.000000 0.000000 0.000000 0.000000 -318.711995 -49.114363 385.256621 1 view_0036.png

38 1.000000 0.000000 0.000000 0.000000 -342.273553 -49.901336 364.484314 1 view_0037.png

39 1.000000 0.000000 0.000000 0.000000 -364.484314 -49.901336 342.273553 1 view_0038.png

40 1.000000 0.000000 0.000000 0.000000 -385.256621 -49.114363 318.711995 1 view_0039.png

41 1.000000 0.000000 0.000000 0.000000 -404.508497 -47.552826 293.892626 1 view_0040.png

42 1.000000 0.000000 0.000000 0.000000 -422.163963 -45.241353 267.913397 1 view_0041.png

43 1.000000 0.000000 0.000000 0.000000 -438.153340 -42.216396 240.876837 1 view_0042.png

44 1.000000 0.000000 0.000000 0.000000 -452.413526 -38.525662 212.889646 1 view_0043.png

45 1.000000 0.000000 0.000000 0.000000 -464.888243 -34.227355 184.062276 1 view_0044.png

46 1.000000 0.000000 0.000000 0.000000 -475.528258 -29.389263 154.508497 1 view_0045.png

47 1.000000 0.000000 0.000000 0.000000 -484.291581 -24.087684 124.344944 1 view_0046.png

48 1.000000 0.000000 0.000000 0.000000 -491.143625 -18.406228 93.690657 1 view_0047.png

49 1.000000 0.000000 0.000000 0.000000 -496.057351 -12.434494 62.666617 1 view_0048.png

50 1.000000 0.000000 0.000000 0.000000 -499.013364 -6.266662 31.395260 1 view_0049.png

51 1.000000 0.000000 0.000000 0.000000 -500.000000 -0.000000 0.000000 1 view_0050.png

52 1.000000 0.000000 0.000000 0.000000 -499.013364 6.266662 -31.395260 1 view_0051.png

53 1.000000 0.000000 0.000000 0.000000 -496.057351 12.434494 -62.666617 1 view_0052.png

54 1.000000 0.000000 0.000000 0.000000 -491.143625 18.406228 -93.690657 1 view_0053.png

55 1.000000 0.000000 0.000000 0.000000 -484.291581 24.087684 -124.344944 1 view_0054.png

56 1.000000 0.000000 0.000000 0.000000 -475.528258 29.389263 -154.508497 1 view_0055.png

57 1.000000 0.000000 0.000000 0.000000 -464.888243 34.227355 -184.062276 1 view_0056.png

58 1.000000 0.000000 0.000000 0.000000 -452.413526 38.525662 -212.889646 1 view_0057.png

59 1.000000 0.000000 0.000000 0.000000 -438.153340 42.216396 -240.876837 1 view_0058.png

60 1.000000 0.000000 0.000000 0.000000 -422.163963 45.241353 -267.913397 1 view_0059.png

61 1.000000 0.000000 0.000000 0.000000 -404.508497 47.552826 -293.892626 1 view_0060.png

62 1.000000 0.000000 0.000000 0.000000 -385.256621 49.114363 -318.711995 1 view_0061.png

63 1.000000 0.000000 0.000000 0.000000 -364.484314 49.901336 -342.273553 1 view_0062.png

64 1.000000 0.000000 0.000000 0.000000 -342.273553 49.901336 -364.484314 1 view_0063.png

65 1.000000 0.000000 0.000000 0.000000 -318.711995 49.114363 -385.256621 1 view_0064.png

66 1.000000 0.000000 0.000000 0.000000 -293.892626 47.552826 -404.508497 1 view_0065.png

67 1.000000 0.000000 0.000000 0.000000 -267.913397 45.241353 -422.163963 1 view_0066.png

68 1.000000 0.000000 0.000000 0.000000 -240.876837 42.216396 -438.153340 1 view_0067.png

69 1.000000 0.000000 0.000000 0.000000 -212.889646 38.525662 -452.413526 1 view_0068.png

70 1.000000 0.000000 0.000000 0.000000 -184.062276 34.227355 -464.888243 1 view_0069.png

71 1.000000 0.000000 0.000000 0.000000 -154.508497 29.389263 -475.528258 1 view_0070.png

72 1.000000 0.000000 0.000000 0.000000 -124.344944 24.087684 -484.291581 1 view_0071.png

73 1.000000 0.000000 0.000000 0.000000 -93.690657 18.406228 -491.143625 1 view_0072.png

74 1.000000 0.000000 0.000000 0.000000 -62.666617 12.434494 -496.057351 1 view_0073.png

75 1.000000 0.000000 0.000000 0.000000 -31.395260 6.266662 -499.013364 1 view_0074.png

76 1.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -500.000000 1 view_0075.png

77 1.000000 0.000000 0.000000 0.000000 31.395260 -6.266662 -499.013364 1 view_0076.png

78 1.000000 0.000000 0.000000 0.000000 62.666617 -12.434494 -496.057351 1 view_0077.png

79 1.000000 0.000000 0.000000 0.000000 93.690657 -18.406228 -491.143625 1 view_0078.png

80 1.000000 0.000000 0.000000 0.000000 124.344944 -24.087684 -484.291581 1 view_0079.png

81 1.000000 0.000000 0.000000 0.000000 154.508497 -29.389263 -475.528258 1 view_0080.png

82 1.000000 0.000000 0.000000 0.000000 184.062276 -34.227355 -464.888243 1 view_0081.png

83 1.000000 0.000000 0.000000 0.000000 212.889646 -38.525662 -452.413526 1 view_0082.png

84 1.000000 0.000000 0.000000 0.000000 240.876837 -42.216396 -438.153340 1 view_0083.png

85 1.000000 0.000000 0.000000 0.000000 267.913397 -45.241353 -422.163963 1 view_0084.png

86 1.000000 0.000000 0.000000 0.000000 293.892626 -47.552826 -404.508497 1 view_0085.png

87 1.000000 0.000000 0.000000 0.000000 318.711995 -49.114363 -385.256621 1 view_0086.png

88 1.000000 0.000000 0.000000 0.000000 342.273553 -49.901336 -364.484314 1 view_0087.png

89 1.000000 0.000000 0.000000 0.000000 364.484314 -49.901336 -342.273553 1 view_0088.png

90 1.000000 0.000000 0.000000 0.000000 385.256621 -49.114363 -318.711995 1 view_0089.png

91 1.000000 0.000000 0.000000 0.000000 404.508497 -47.552826 -293.892626 1 view_0090.png

92 1.000000 0.000000 0.000000 0.000000 422.163963 -45.241353 -267.913397 1 view_0091.png

93 1.000000 0.000000 0.000000 0.000000 438.153340 -42.216396 -240.876837 1 view_0092.png

94 1.000000 0.000000 0.000000 0.000000 452.413526 -38.525662 -212.889646 1 view_0093.png

95 1.000000 0.000000 0.000000 0.000000 464.888243 -34.227355 -184.062276 1 view_0094.png

96 1.000000 0.000000 0.000000 0.000000 475.528258 -29.389263 -154.508497 1 view_0095.png

97 1.000000 0.000000 0.000000 0.000000 484.291581 -24.087684 -124.344944 1 view_0096.png

98 1.000000 0.000000 0.000000 0.000000 491.143625 -18.406228 -93.690657 1 view_0097.png

99 1.000000 0.000000 0.000000 0.000000 496.057351 -12.434494 -62.666617 1 view_0098.png

100 1.000000 0.000000 0.000000 0.000000 499.013364 -6.266662 -31.395260 1 view_0099.png

